dataid,Previous meter,Current meter,Difference,Previous Date,Previous Hour,Previous Minute,Previous Second,Current Date,Current Hour,Current Minute,Current Second
5129.0,168508.0,156950.0,11558.0,2015-12-10,2.0,6.0,1.0,2015-12-10,2.0,48.0,13.0
5129.0,168508.0,156952.0,11556.0,2015-12-10,4.0,58.0,11.0,2015-12-10,5.0,3.0,29.0
5129.0,168508.0,156952.0,11556.0,2015-12-10,5.0,23.0,9.0,2015-12-10,5.0,40.0,25.0
5129.0,168510.0,156964.0,11546.0,2015-12-10,7.0,18.0,10.0,2015-12-10,7.0,52.0,13.0
5129.0,168510.0,156964.0,11546.0,2015-12-10,8.0,10.0,19.0,2015-12-10,8.0,27.0,20.0
5129.0,168510.0,156964.0,11546.0,2015-12-10,8.0,41.0,15.0,2015-12-10,8.0,50.0,21.0
5129.0,168520.0,156964.0,11556.0,2015-12-10,9.0,47.0,3.0,2015-12-10,10.0,0.0,24.0
5129.0,168522.0,156966.0,11556.0,2015-12-10,10.0,48.0,2.0,2015-12-10,10.0,56.0,19.0
5129.0,168524.0,156966.0,11558.0,2015-12-10,12.0,35.0,19.0,2015-12-10,13.0,12.0,26.0
5129.0,168524.0,156966.0,11558.0,2015-12-10,13.0,36.0,15.0,2015-12-10,13.0,38.0,31.0
5129.0,168524.0,156966.0,11558.0,2015-12-10,14.0,50.0,0.0,2015-12-10,15.0,8.0,19.0
5129.0,168524.0,156966.0,11558.0,2015-12-10,15.0,50.0,10.0,2015-12-10,16.0,2.0,13.0
5129.0,168524.0,156968.0,11556.0,2015-12-10,16.0,12.0,15.0,2015-12-10,16.0,30.0,7.0
5129.0,168524.0,156968.0,11556.0,2015-12-10,16.0,53.0,16.0,2015-12-10,17.0,22.0,25.0
5129.0,168524.0,156968.0,11556.0,2015-12-10,17.0,28.0,13.0,2015-12-10,17.0,56.0,30.0
5129.0,168528.0,156978.0,11550.0,2015-12-10,23.0,24.0,2.0,2015-12-10,23.0,24.0,25.0
5129.0,168528.0,156978.0,11550.0,2015-12-11,0.0,41.0,18.0,2015-12-11,0.0,48.0,15.0
5129.0,168528.0,156978.0,11550.0,2015-12-11,1.0,35.0,16.0,2015-12-11,2.0,0.0,27.0
5129.0,168528.0,156980.0,11548.0,2015-12-11,4.0,5.0,10.0,2015-12-11,4.0,12.0,19.0
5129.0,168530.0,156980.0,11550.0,2015-12-11,5.0,4.0,22.0,2015-12-11,6.0,6.0,22.0
5129.0,168530.0,156980.0,11550.0,2015-12-11,7.0,19.0,2.0,2015-12-11,7.0,20.0,24.0
5129.0,168530.0,156992.0,11538.0,2015-12-11,10.0,17.0,12.0,2015-12-11,10.0,46.0,32.0
5129.0,168540.0,156992.0,11548.0,2015-12-11,11.0,4.0,4.0,2015-12-11,11.0,49.0,25.0
5129.0,168542.0,156994.0,11548.0,2015-12-11,13.0,57.0,15.0,2015-12-11,14.0,10.0,19.0
5129.0,168542.0,156994.0,11548.0,2015-12-11,16.0,54.0,12.0,2015-12-11,17.0,46.0,14.0
5129.0,168542.0,156994.0,11548.0,2015-12-11,17.0,53.0,26.0,2015-12-11,17.0,56.0,17.0
5129.0,168542.0,156996.0,11546.0,2015-12-11,18.0,23.0,16.0,2015-12-11,18.0,39.0,26.0
5129.0,168544.0,156996.0,11548.0,2015-12-11,19.0,2.0,17.0,2015-12-11,19.0,56.0,24.0
5129.0,168544.0,156996.0,11548.0,2015-12-11,20.0,58.0,10.0,2015-12-11,21.0,26.0,13.0
5129.0,168544.0,156996.0,11548.0,2015-12-11,22.0,10.0,22.0,2015-12-11,22.0,54.0,22.0
5129.0,168546.0,156998.0,11548.0,2015-12-12,0.0,15.0,6.0,2015-12-12,0.0,24.0,27.0
5129.0,168546.0,156998.0,11548.0,2015-12-12,1.0,22.0,12.0,2015-12-12,2.0,0.0,15.0
5129.0,168546.0,156998.0,11548.0,2015-12-12,2.0,47.0,17.0,2015-12-12,3.0,50.0,26.0
5129.0,168546.0,156998.0,11548.0,2015-12-12,4.0,30.0,3.0,2015-12-12,5.0,26.0,18.0
5129.0,168548.0,157000.0,11548.0,2015-12-12,5.0,55.0,16.0,2015-12-12,6.0,0.0,10.0
5129.0,168548.0,157000.0,11548.0,2015-12-12,7.0,19.0,14.0,2015-12-12,8.0,48.0,27.0
5129.0,168548.0,157000.0,11548.0,2015-12-12,9.0,54.0,13.0,2015-12-12,10.0,12.0,10.0
5129.0,168550.0,157016.0,11534.0,2015-12-12,11.0,27.0,16.0,2015-12-12,12.0,28.0,26.0
5129.0,168550.0,157016.0,11534.0,2015-12-12,15.0,21.0,16.0,2015-12-12,15.0,22.0,19.0
5129.0,168550.0,157018.0,11532.0,2015-12-12,16.0,31.0,10.0,2015-12-12,16.0,50.0,22.0
5129.0,168552.0,157018.0,11534.0,2015-12-12,19.0,58.0,14.0,2015-12-12,20.0,48.0,24.0
5129.0,168558.0,157020.0,11538.0,2015-12-13,0.0,48.0,5.0,2015-12-13,1.0,25.0,23.0
5129.0,168558.0,157020.0,11538.0,2015-12-13,1.0,52.0,5.0,2015-12-13,2.0,2.0,14.0
5131.0,121736.0,121734.0,2.0,2016-3-31,0.0,23.0,48.0,2016-3-31,0.0,33.0,36.0
5193.0,151130.0,151128.0,2.0,2015-11-1,1.0,38.0,35.0,2015-11-1,1.0,40.0,25.0
5193.0,151130.0,151128.0,2.0,2015-11-1,1.0,49.0,43.0,2015-11-1,1.0,51.0,18.0
5193.0,151156.0,151146.0,10.0,2015-11-1,7.0,36.0,31.0,2015-11-1,7.0,41.0,55.0
5193.0,151156.0,151150.0,6.0,2015-11-1,7.0,47.0,21.0,2015-11-1,7.0,48.0,35.0
5403.0,113454.0,113452.0,2.0,2015-10-17,10.0,18.0,16.0,2015-10-17,10.0,18.0,23.0
5403.0,113456.0,113454.0,2.0,2015-10-17,11.0,57.0,19.0,2015-10-17,11.0,58.0,33.0
5403.0,113458.0,113456.0,2.0,2015-10-17,13.0,22.0,8.0,2015-10-17,13.0,29.0,24.0
5403.0,113458.0,113456.0,2.0,2015-10-17,13.0,37.0,7.0,2015-10-17,13.0,37.0,17.0
5403.0,113458.0,113456.0,2.0,2015-10-17,13.0,38.0,7.0,2015-10-17,13.0,39.0,18.0
5403.0,113460.0,113458.0,2.0,2015-10-17,14.0,31.0,17.0,2015-10-17,14.0,36.0,26.0
5403.0,113460.0,113458.0,2.0,2015-10-17,14.0,38.0,23.0,2015-10-17,14.0,40.0,25.0
5403.0,113464.0,113462.0,2.0,2015-10-17,17.0,28.0,5.0,2015-10-17,17.0,33.0,25.0
5403.0,113468.0,113466.0,2.0,2015-10-17,20.0,40.0,4.0,2015-10-17,20.0,52.0,27.0
5403.0,113468.0,113466.0,2.0,2015-10-17,20.0,55.0,12.0,2015-10-17,20.0,57.0,32.0
5403.0,113470.0,113468.0,2.0,2015-10-17,21.0,56.0,6.0,2015-10-17,22.0,17.0,17.0
5403.0,113472.0,113470.0,2.0,2015-10-17,23.0,30.0,21.0,2015-10-17,23.0,33.0,31.0
5403.0,113472.0,113470.0,2.0,2015-10-17,23.0,40.0,16.0,2015-10-17,23.0,49.0,36.0
5403.0,113474.0,113472.0,2.0,2015-10-18,1.0,6.0,10.0,2015-10-18,1.0,12.0,31.0
